Day,Cases
1,1
2,1
3,0
4,2
5,3
6,3
7,3
8,6
9,8
10,3
11,9
12,4
13,8
14,17
15,57
16,118
17,75
18,102
19,74
20,86
21,50
22,69
23,48
24,96
25,77
26,58
27,106
28,98
29,31
30,38
31,25
32,56
33,49
34,105
35,43
36,76
37,33
38,54
39,72
40,66
41,64
42,52
43,121
44,104
45,161
46,203
47,231
48,266
49,527
50,508
51,771
52,580
53,600
54,526
55,669
56,798
57,716
58,509
59,447
60,434
61,477
62,639
63,536
64,688
65,743
66,776
67,786
68,759
69,765
70,805
71,646
72,817
73,827
74,874
75,938
76,1149
77,1162
78,1091
79,1286
80,1384
81,1438
82,1458
83,1515
84,1562
85,1685
86,1927
87,1875
89,1982
90,1989
91,1974
92,1843
93,1515
94,2174
